"Browser","Device","Res Name","Ratio","Ask","Actual","Status","deviceIndex","resIndex"
"chrome 51","Integrated Webcam (064e:920b)","4K(UHD)","16:9","3840x2160","0x0","fail: ConstraintNotSatisfiedError","0","0"
"chrome 51","Integrated Webcam (064e:920b)","1080p(FHD)","16:9","1920x1080","0x0","fail: ConstraintNotSatisfiedError","0","1"
"chrome 51","Integrated Webcam (064e:920b)","UXGA","4:3","1600x1200","0x0","fail: ConstraintNotSatisfiedError","0","2"
"chrome 51","Integrated Webcam (064e:920b)","720p(HD)","16:9","1280x720","1280x720","pass","0","3"
"chrome 51","Integrated Webcam (064e:920b)","SVGA","4:3","800x600","800x600","pass","0","4"
"chrome 51","Integrated Webcam (064e:920b)","VGA","4:3","640x480","640x480","pass","0","5"
"chrome 51","Integrated Webcam (064e:920b)","360p(nHD)","16:9","640x360","640x360","pass","0","6"
"chrome 51","Integrated Webcam (064e:920b)","CIF","4:3","352x288","352x288","pass","0","7"
"chrome 51","Integrated Webcam (064e:920b)","QVGA","4:3","320x240","320x240","pass","0","8"
"chrome 51","Integrated Webcam (064e:920b)","QCIF","4:3","176x144","176x144","pass","0","9"
"chrome 51","Integrated Webcam (064e:920b)","QQVGA","4:3","160x120","160x120","pass","0","10"
